12NC,ATLANTIC MCOLF
13NC,OAK GROVE MCOLF
14NC,CAMP DAVIS MCOLF
22XS,LONGHORN AUX LANDING STRIP
23XS,SHORTHORN AUX LANDING STRIP
99CL,EL MIRAGE FLD ADELANTO
9TX5,CAMP BULLIS ALS CALS
ACES,ACES
CA62,MC MILLAN ASSAULT STRIP
CAU3,CAMP OLIVER AAF
CO80,FOWLER
CO90,USAF ACADEMY BULLSEYE AUX
CYBG,BAGOTVILLE
K09J,JEKYLL ISLAND
K0F2,BOWIE MUNI
K0L9,ECHO BAY
K11R,BRENHAM MUNI
K12J,BREWTON MUNI
K1R8,BAY MINETTE MUNI
K1V6,FREMONT CO
K24R,DILLEY AIRPARK
K2CB,CAMP BLANDING AAF
K3G5,DAWSON AAF
K3MY,MT HAWLEY AUXILIARY
K40J,PERRY FOLEY
K4V1,SPANISH PEAKS
K5T9,MAVERICK CO MEM INTL
K67L,MESQUITE
K79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD
K92F,CHATTANOOGA SKY HARBOR
K95E,STALLION AAF
KAAA,LOGAN CO
KAAF,APALACHICOLA RGNL
KABE,LEHIGH VALLEY INTL
KABI,ABILENE RGNL
KABR,ABERDEEN FLD
KABY,SOUTHWEST GEORGIA RGNL
KACK,NANTUCKET MEM
KACT,WACO RGNL
KACY,ATLANTIC CITY INTL
KADM,ARDMORE MUNI
KADW,ANDREWS AFB
KAEG,DOUBLE EAGLE II
KAEX,ALEXANDRIA INTL
KAFF,USAF ACADEMY AIRFIELD
KAFW,FORT WORTH ALLIANCE
KAGR,MACDILL AFB AUX FLD
KAGS,AUGUSTA RGNL AT BUSH FLD
KAHC,AMEDEE AAF
KAHN,ATHENS BEN EPPS
KALB,ALBANY INTL
KALI,ALICE INTL
KALN,ST LOUIS RGNL
KAMA,RICK HUSBAND AMARILLO INTERNATIONAL
KAPA,CENTENNIAL
KAPG,PHILLIPS AAF
KAPH,A P HILL AAF
KAPN,ALPENA CO REGIONAL -  MI
KARA,ACADIANA RGNL
KARR,AURORA MUNI
KATL,HARTSFIELD JACKSON ATLANTA INTL
KATS,ARTESIA MUNI
KAUS,AUSTIN BERGSTROM INTL
KAVK,ALVA RGNL
KAVL,ASHEVILLE RGNL
KAVO,AVON PARK EXECUTIVE
KAXX,ANGEL FIRE
KAYX,ARNOLD AFB
KAZU,ARROWHEAD ASSAULT STRIP
KBAB,BEALE AFB
KBAD,BARKSDALE AFB
KBAF,BARNES MUNI
KBAK,COLUMBUS MUNICIPAL -  IN
KBAM,BATTLE MOUNTAIN
KBDL,BRADLEY INTL ARPT
KBEA,BEEVILLE MUNI
KBED,LAURENCE G HANSCOM FLD
KBFI,BOEING FLD KING CO INTL
KBFM,MOBILE DOWNTOWN
KBGE,DECATUR CO INDUSTRIAL AIR PARK
KBGM,GREATER BINGHAMTON EDWIN A LINK FLD
KBGR,BANGOR INTL
KBHM,BIRMINGHAM INTL
KBIF,BIGGS AAF
KBIH,EASTERN SIERRA RGNL
KBIL,BILLINGS LOGAN INTL
KBIS,BISMARCK MUNI
KBIX,KEESLER AFB
KBJC,ROCKY MOUNTAIN METRO
KBKF,BUCKLEY AFB
KBKN,BLACKWELL TONKAWA MUNI
KBKS,BROOKS CO
KBKT,BLACKSTONE AAF ALLEN C PERKINSON MUNI
KBLI,BELLINGHAM INTL
KBLV,SCOTT AFB
KBMG,MONROE CO
KBMI,CENTRAL ILLINOIS RGNL
KBNA,NASHVILLE INTL ARPT
KBOI,GOWEN FIELD -  ID
KBOI,BOISE AIR TERMINAL
KBOS,LOGAN INTL
KBPT,SOUTHEAST TEXAS RGNL
KBQK,BRUNSWICK GOLDEN ISLES
KBRO,BROWNSVILLE SOUTH PADRE ISLAND INTL
KBTL,W K KELLOGG
KBTR,BATON ROUGE METRO RYAN FLD
KBTV,BURLINGTON INTL
KBVU,BOULDER CITY MUNI
KBWI,BALTIMORE WASHINGTON INTL
KBYS,BICYCLE LAKE AAF
KC75,MARSHALL CO
KCAE,COLUMBIA METROPOLITAN
KCAK,AKRON CANTON RGNL
KCBM,COLUMBUS AFB
KCDC,CEDAR CITY RGNL
KCEF,WESTOVER ARB -  MA
KCEW,BOB SIKES
KCHA,LOVELL FLD
KCHK,CHICKASHA MUNI
KCHS,CHARLESTON AFB INTL
KCIC,CHICO MUNI
KCKA,KEGELMAN AF AUX FIELD
KCKB,NORTH CENTRAL WEST VIRGINIA
KCKP,CHEROKEE MUNI
KCLL,EASTERWOOD FLD
KCLT,CHARLOTTE DOUGLAS INTL
KCMH,PORT COLUMBUS INTL ARPT
KCMY,SPARTA FORT MCCOY
KCNM,CAVERN CITY AIR TERMINAL
KCNW,TSTC WACO
KCOF,PATRICK AFB
KCOS,PETERSON AFB
KCOU,COLUMBIA RGNL
KCPS,ST LOUIS DOWNTOWN
KCQF,H L SONNY CALLAHAN
KCRP,CORPUS CHRISTI INTL
KCRW,MCLAUGHLIN ANGB
KCSM,CLINTON-SHERMAN
KCVG,CINCINNATI NORTHERN KENTUCKY INTL
KCVN,CLOVIS MUNI
KCVS,CANNON AFB
KCWF,CHENNAULT INTL
KCXO,LONE STAR EXECUTIVE
KCYS,CHEYENNE RGNL JERRY OLSON FLD
KCZT,DIMMIT CO
KD05,GARRISON MUNI
KDAA,DAVISON AAF
KDAB,DAYTONA BEACH INTL
KDAL,DALLAS LOVE FLD
KDAY,JAMES M COX DAYTON INTL
KDEC,DECATUR
KDFW,DALLAS FORT WORTH INTL
KDHN,DOTHAN RGNL
KDHT,DALHART MUNI
KDLF,LAUGHLIN AFB
KDLH,DULUTH INTL
KDMA,DAVIS MONTHAN AFB
KDOV,DOVER AFB
KDPG,MICHAEL AAF
KDRO,DURANGO LA PLATA CO
KDRT,DEL RIO
KDSM,DES MOINES INTL
KDUC,HALLIBURTON FLD
KDUG,BISBEE DOUGLAS INTL
KDVL,DEVILS LAKE RGNL
KDWH,DAVID WAYNE HOOKS MEM
KDYS,DYESS AFB
KECG,ELIZABETH CITY CGAS MUNI
KECP,NORTHWEST FLORIDA BEACHES INTL
KECU,EDWARDS CO
KEDG,WEIDE AHP
KEDW,EDWARDS AFB
KEFD,ELLINGTON FIELD -  TX
KEGE,EAGLE CO RGNL
KEGI,EGLIN AF AUX NR 3 DUKE
KEKO,ELKO RGNL
KELM,ELMIRA CORNING RGNL
KELP,EL PASO INTL
KEND,VANCE AFB
KENV,WENDOVER
KERI,ERIE INTL TOM RIDGE FLD
KEUF,WEEDON FLD
KEUG,MAHLON SWEET FLD
KEVV,EVANSVILLE RGNL
KEVY,SUMMIT
KFAF,FELKER AAF
KFAR,HECTOR INTL
KFAT,FRESNO YOSEMITE INTL
KFBG,SIMMONS AAF
KFCS,BUTTS ARMY AIR FIELD
KFCT,VAGABOND AAF
KFDK,FREDERICK MUNICIPAL AIRPORT
KFEW,FE WARREN AFB
KFFO,WRIGHT-PATTERSON AFB
KFHB,FERNANDINA BEACH MUNI
KFHU,LIBBY AAF SIERRA VISTA MUNI
KFLG,FLAGSTAFF PULLIAM
KFLV,SHERMAN AAF
KFLY,MEADOW LAKE
KFMH,OTIS ANGB
KFMN,FOUR CORNERS RGNL
KFOE,FORBES FIELD
KFOK,FRANCIS S GABRESKI
KFRI,MARSHALL AAF
KFSD,JOE FOSS FIELD -  SD
KFSI,HENRY POST ARMY AIR FIELD
KFSM,FORT SMITH RGNL
KFST,FORT STOCKTON PECOS CO
KFTG,FRONT RANGE
KFTK,GODMAN AAF
KFTW,FORT WORTH MEACHAM INTL
KFWA,FORT WAYNE INTL
KFYM,FAYETTEVILLE MUNI
KFYV,DRAKE FLD
KGBG,GALESBURG MUNI
KGCK,GARDEN CITY RGNL
KGCN,GRAND CANYON NATL PARK
KGEG,SPOKANE INTL
KGFA,MALMSTROM
KGFK,GRAND FORKS INTL
KGGG,EAST TEXAS REGIONAL
KGJT,GRAND JUNCTION RGNL
KGLH,MID DELTA RGNL
KGNF,GRENADA MUNICIPAL AIRPORT
KGNT,GRANTS MILAN MUNI
KGNV,GAINESVILLE RGNL
KGOK,GUTHRIE EDMOND RGNL
KGON,GROTON NEW LONDON
KGOV,GRAYLING AAF
KGPI,GLACIER PARK INTL
KGPT,GULFPORT BILOXI INTL
KGRB,AUSTIN STRAUBEL INTL
KGRF,GRAY AAF
KGRI,CENTRAL NEBRASKA RGNL
KGRK,ROBERT GRAY AAF
KGRR,GERALD R FORD INTL
KGSB,SEYMOUR JOHNSON AFB
KGSO,PIEDMONT TRIAD INTL
KGSP,GREENVILLE SPARTANBURG INTL
KGTB,WHEELER SACK AAF
KGTF,GREAT FALLS INTL
KGTR,GOLDEN TRIANGLE RGNL
KGUP,GALLUP MUNI
KGUR,CAMP GUERNSEY AAF
KGUS,GRISSOM ARB
KGVT,MAJORS ARPT
KGXA,GRAY BUTTE FLD
KGXF,GILA BEND AF AUX
KHBG,HATTIESBURG BOBBY L CHAIN MUNI
KHBV,JIM HOGG CO
KHDC,HAMMOND NORTHSHORE RGNL
KHFF,MACKALL AAF
KHGR,HAGERSTOWN RGNL RICHARD A HENSON FLD
KHGT,TUSI AHP
KHIF,HILL AFB
KHKA,BLYTHEVILLE MUNI
KHLN,HELENA RGNL
KHLR,HOOD AAF
KHMN,HOLLOMAN AFB
KHND,HENDERSON EXECUTIVE
KHOB,LEA CO RGNL
KHOP,CAMPBELL AAF
KHRL,VALLEY INTL
KHRT,HURLBURT FIELD
KHRX,HEREFORD MUNI
KHSA,STENNIS INTL
KHST,HOMESTEAD ARS -  FL
KHSV,HUNTSVILLE INTL CARL T JONES FLD
KHTH,HAWTHORNE INDUSTRIAL
KHUA,REDSTONE AAF
KHUF,TERRE HAUTE INTL HULMAN FIELD -  IN
KHUT,HUTCHINSON MUNI
KIAB,MCCONNELL AFB
KIAG,NIAGARA FALLS ARS -  NY
KICT,WICHITA MID CONTINENT
KIDA,IDAHO FALLS RGNL
KIKR,KIRTLAND AFB -  NM
KILG,NEW CASTLE
KILM,WILMINGTON INTL
KINS,CREECH AFB
KISO,KINSTON RGNL JETPORT AT STALLINGS FLD
KIWA,WILLIAMS GATEWAY
